29,Sammy Watkins,1464,101,BUF,1,4,2014,Clemson,2013,Clemson,13,101,1464,14.5,12,112.6,WR,JR,sammy-watkins-1
30,Anthony Miller,1462,96,CHI,2,51,2018,Memphis,2017,Memphis,13,96,1462,15.2,18,112.5,WR,SR,anthony-miller-6
31,JuJu Smith-Schuster,1454,89,PIT,2,62,2017,USC,2015,USC,14,89,1454,16.3,10,103.9,WR,SO,juju-smith-1
32,Kevin White,1447,109,CHI,1,7,2015,West Virginia,2014,West Virginia,13,109,1447,13.3,10,111.3,WR,SR,kevin-white-6
33,Corey Davis,1436,90,OTI,1,5,2017,Western Michigan,2015,Western Michigan,13,90,1436,16.0,12,110.5,WR,JR,corey-davis-3
34,Anthony Miller,1434,95,CHI,2,51,2018,Memphis,2016,Memphis,13,95,1434,15.1,14,110.3,WR,JR,anthony-miller-6
35,Allen Robinson,1432,97,JAX,2,61,2014,Penn State,2013,Penn State,12,97,1432,14.8,6,119.3,WR,JR,allen-robinson-1
36,Keke Coutee,1429,93,HTX,4,103,2018,Texas Tech,2017,Texas Tech,13,93,1429,15.4,10,109.9,WR,JR,keke-coutee-1
37,Malik Washington,1426,110,MIA,6,184,2024,Virginia,2023,Virginia,12,110,1426,13.0,9,118.8,WR,SR,malik-washington-1
38,Michael Gallup,1413,100,DAL,3,81,2018,Colorado State,2017,Colorado State,13,100,1413,14.1,7,108.7,WR,SR,michael-gallup-1
39,Corey Davis,1408,78,OTI,1,5,2017,Western Michigan,2014,Western Michigan,12,78,1408,18.1,15,117.3,WR,SO,corey-davis-3
40,Nathaniel Dell,1398,109,HTX,3,69,2023,Houston,2022,Houston,13,109,1398,12.8,17,107.5,WR,JR,nathaniel-dell-1
41,Antonio Gandy-Golden,1396,79,WAS,4,142,2020,Liberty,2019,Liberty,13,79,1396,17.7,10,107.4,WR,SR,antonio-gandy-golden-1
42,Mike Evans,1394,69,TAM,1,7,2014,Texas A&M,2013,Texas A&M,13,69,1394,20.2,12,107.2,WR,SO,mike-evans-4
43,Michael Thomas,1391,71,RAM,6,206,2016,Southern Mississippi,2015,Southern Mississippi,13,71,1391,19.6,14,107.0,WR,SR,michael-thomas-6
44,Devin Duvernay,1386,106,RAV,3,92,2020,Texas,2019,Texas,13,106,1386,13.1,9,106.6,WR,SR,devin-duvernay-1
45,Troy Franklin,1383,81,DEN,4,102,2024,Oregon,2023,Oregon,13,81,1383,17.1,14,106.4,WR,JR,troy-franklin-2
46,James Washington,1380,71,PIT,2,60,2018,Oklahoma State,2016,Oklahoma State,13,71,1380,19.4,10,106.2,WR,JR,james-washington-5
47,Daniel Braverman,1377,109,CHI,7,230,2016,Western Michigan,2015,Western Michigan,13,109,1377,12.6,13,105.9,WR,JR,daniel-braverman-1
48,Jeremy Gallon,1373,89,NWE,7,244,2014,Michigan,2013,Michigan,13,89,1373,15.4,9,105.6,WR,SR,jeremy-gallon-1
49,Rashad Greene,1365,99,JAX,5,139,2015,Florida State,2014,Florida State,14,99,1365,13.8,7,97.5,WR,SR,rashad-greene-1
50,Corey Coleman,1363,74,CLE,1,15,2016,Baylor,2015,Baylor,12,74,1363,18.4,20,113.6,WR,JR,corey-coleman-1
51,Charlie Jones,1361,110,CIN,4,131,2023,Purdue,2022,Purdue,13,110,1361,12.4,12,104.7,WR,SR,charlie-jones-7
52,Mike Williams,1361,98,SDG,1,7,2017,Clemson,2016,Clemson,15,98,1361,13.9,11,90.7,WR,JR,mike-williams-17
53,Jamison Crowder,1360,108,WAS,4,105,2015,Duke,2013,Duke,14,108,1360,12.6,8,97.1,WR,JR,jamison-crowder-1
54,Rashee Rice,1355,96,KAN,2,55,2023,SMU,2022,SMU,12,96,1355,14.1,10,112.9,WR,SR,rashee-rice-1
55,Jacob Cowing,1354,69,SFO,4,135,2024,Arizona,2021,UTEP,13,69,1354,19.6,7,104.2,WR,SO,jacob-cowing-1
56,John Ursua,1343,89,SEA,7,236,2019,Hawaii,2018,Hawaii,13,89,1343,15.1,16,103.3,WR,JR,john-ursua-1
57,Paul Richardson,1343,83,SEA,2,45,2014,Colorado,2013,Colorado,12,83,1343,16.2,10,111.9,WR,JR,paul-richardson-1
58,KeeSean Johnson,1340,95,CRD,6,174,2019,Fresno State,2018,Fresno State,14,95,1340,14.1,8,95.7,WR,SR,keesean-johnson-1
59,Josh Downs,1335,101,CLT,3,79,2023,North Carolina,2021,North Carolina,13,101,1335,13.2,8,102.7,WR,SO,josh-downs-2
60,Wan'Dale Robinson,1334,104,NYG,2,43,2022,Kentucky,2021,Kentucky,13,104,1334,12.8,7,102.6,WR,JR,wandale-robinson-1
61,Nathaniel Dell,1329,90,HTX,3,69,2023,Houston,2021,Houston,14,90,1329,14.8,12,94.9,WR,SO,nathaniel-dell-1
62,CeeDee Lamb,1327,62,DAL,1,17,2020,Oklahoma,2019,Oklahoma,13,62,1327,21.4,14,102.1,WR,JR,ceedee-lamb-1
63,Josh Doctson,1327,79,WAS,1,22,2016,Texas Christian,2015,Texas Christian,11,79,1327,16.8,14,120.6,WR,SR,josh-doctson-1
64,A.J. Brown,1320,85,OTI,2,51,2019,Ole Miss,2018,Ole Miss,12,85,1320,15.5,6,110.0,WR,JR,aj-brown-3
65,Tajae Sharpe,1319,111,OTI,5,140,2016,Massachusetts,2015,Massachusetts,12,111,1319,11.9,5,109.9,WR,SR,tajae-sharpe-1
66,Hakeem Butler,1318,60,CRD,4,103,2019,Iowa State,2018,Iowa State,13,60,1318,22.0,9,101.4,WR,JR,hakeem-butler-1
67,Marquise Brown,1318,75,RAV,1,25,2019,Oklahoma,2018,Oklahoma,14,75,1318,17.6,10,94.1,WR,JR,marquise-brown-1
68,Jerry Jeudy,1315,68,DEN,1,15,2020,Alabama,2018,Alabama,15,68,1315,19.3,14,87.7,WR,SO,jerry-jeudy-1
69,Nelson Agholor,1313,104,PHI,1,20,2015,USC,2014,USC,13,104,1313,12.6,12,101.0,WR,JR,nelson-agholor-1
70,Malachi Corley,1295,101,NYJ,3,65,2024,Western Kentucky,2022,Western Kentucky,14,101,1295,12.8,11,92.5,WR,SO,malachi-corley-1
71,A.T. Perry,1293,71,NOR,6,195,2023,Wake Forest,2021,Wake Forest,14,71,1293,18.2,15,92.4,WR,SO,at-perry-1
72,Skyy Moore,1292,95,KAN,2,54,2022,Western Michigan,2021,Western Michigan,12,95,1292,13.6,9,107.7,WR,SO,skyy-moore-1
73,Sterling Shepard,1288,86,NYG,2,40,2016,Oklahoma,2015,Oklahoma,13,86,1288,15.0,11,99.1,WR,SR,sterling-shepard-1
74,David Bell,1286,93,CLE,3,99,2022,Purdue,2021,Purdue,11,93,1286,13.8,6,116.9,WR,JR,david-bell-6
75,Justin Hardy,1284,114,ATL,4,107,2015,East Carolina,2013,East Carolina,13,114,1284,11.3,8,98.8,WR,JR,justin-hardy-1
76,Trent Taylor,1282,99,SFO,5,177,2017,Louisiana Tech,2015,Louisiana Tech,13,99,1282,12.9,9,98.6,WR,JR,trent-taylor-2
77,Tajae Sharpe,1281,85,OTI,5,140,2016,Massachusetts,2014,Massachusetts,12,85,1281,15.1,7,106.8,WR,JR,tajae-sharpe-1
78,Diontae Johnson,1278,74,PIT,3,66,2019,Toledo,2017,Toledo,14,74,1278,17.3,13,91.3,WR,SO,diontae-johnson-1
79,Chatarius Atwell,1276,70,RAM,2,57,2021,Louisville,2019,Louisville,13,70,1276,18.2,12,98.2,WR,SO,chatarius-atwell-1
80,Michael Pittman Jr.,1275,101,CLT,2,34,2020,USC,2019,USC,13,101,1275,12.6,11,98.1,WR,SR,michael-pittman-jr-1
81,Michael Gallup,1272,76,DAL,3,81,2018,Colorado State,2016,Colorado State,13,76,1272,16.7,14,97.8,WR,JR,michael-gallup-1
82,Jakeem Grant,1268,90,MIA,6,186,2016,Texas Tech,2015,Texas Tech,13,90,1268,14.1,10,97.5,WR,SR,jakeem-grant-1
83,Jalin Hyatt,1267,67,NYG,3,73,2023,Tennessee,2022,Tennessee,12,67,1267,18.9,15,105.6,WR,JR,jalin-hyatt-1
84,Jordan Lasley,1264,69,RAV,5,162,2018,UCLA,2017,UCLA,9,69,1264,18.3,9,140.4,WR,JR,jordan-lasley-1
85,Marvin Harrison Jr.,1263,77,CRD,1,4,2024,Ohio State,2022,Ohio State,13,77,1263,16.4,14,97.2,WR,SO,marvin-harrison-jr-1
86,Tyler Lockett,1262,81,SEA,3,69,2015,Kansas State,2013,Kansas State,12,81,1262,15.6,11,105.2,WR,JR,tyler-lockett-1
87,Tyler Boyd,1261,78,CIN,2,55,2016,Pitt,2014,Pitt,13,78,1261,16.2,8,97.0,WR,SO,tyler-boyd-1
88,Aaron Burbridge,1258,85,SFO,6,213,2016,Michigan State,2015,Michigan State,14,85,1258,14.8,7,89.9,WR,SR,aaron-burbridge-1
89,William Fuller,1258,62,HTX,1,21,2016,Notre Dame,2015,Notre Dame,13,62,1258,20.3,14,96.8,WR,JR,william-fuller-2
90,DeVonta Smith,1256,68,PHI,1,10,2021,Alabama,2019,Alabama,13,68,1256,18.5,14,96.6,WR,JR,devonta-smith-1
91,Xavier Legette,1255,71,CAR,1,32,2024,South Carolina,2023,South Carolina,12,71,1255,17.7,7,104.6,WR,SR,xavier-legette-1
